sk_date,bk_product,idx_value
20050104,h11001,99.69
20050105,h11001,99.88
20050106,h11001,100.04
20050107,h11001,100.06
20050110,h11001,100.1
20050111,h11001,100.12
20050112,h11001,100.1
20050113,h11001,100.2
20050114,h11001,100.25
20050117,h11001,100.36
20050118,h11001,100.42
20050119,h11001,100.43
20050120,h11001,100.39
20050121,h11001,100.41
20050124,h11001,100.48
20050125,h11001,100.56
20050126,h11001,100.69
20050127,h11001,100.74
20050128,h11001,100.76
20050131,h11001,100.92
20050201,h11001,100.98
20050202,h11001,100.98
20050203,h11001,101.02
20050204,h11001,101.15
20050216,h11001,101.26
20050217,h11001,101.29
20050218,h11001,101.43
20050221,h11001,101.55
20050222,h11001,101.6
20050223,h11001,101.61
20050224,h11001,101.69
20050225,h11001,101.78
20050228,h11001,101.9
20050301,h11001,101.91
20050302,h11001,101.76
20050303,h11001,101.72
20050304,h11001,101.8
20050307,h11001,101.85
20050308,h11001,102.09
20050309,h11001,102.02
20050310,h11001,102.08
20050311,h11001,102.14
20050314,h11001,102.27
20050315,h11001,102.5
20050316,h11001,102.66
20050317,h11001,103.03
20050318,h11001,103.14
20050321,h11001,103.26
20050322,h11001,103.26
20050323,h11001,103.25
20050324,h11001,103.38
20050325,h11001,103.35
20050328,h11001,103.47
20050329,h11001,103.52
20050330,h11001,103.6
20050331,h11001,103.64
20050401,h11001,103.74
20050404,h11001,103.67
20050405,h11001,103.69
20050406,h11001,103.76
20050407,h11001,103.88
20050408,h11001,104.03
20050411,h11001,104.11
20050412,h11001,104.39
20050413,h11001,104.44
20050414,h11001,104.56
20050415,h11001,104.63
20050418,h11001,104.61
20050419,h11001,104.74
20050420,h11001,104.77
20050421,h11001,104.71
20050422,h11001,104.55
20050425,h11001,104.67
20050426,h11001,104.83
20050427,h11001,104.81
20050428,h11001,104.82
20050429,h11001,104.89
20050509,h11001,104.93
20050510,h11001,104.99
20050511,h11001,105.08
20050512,h11001,105.05
20050513,h11001,105.22
20050516,h11001,105.45
20050517,h11001,105.48
20050518,h11001,105.64
20050519,h11001,105.69
20050520,h11001,105.93
20050523,h11001,106.1
20050524,h11001,106.09
20050525,h11001,106.06
20050526,h11001,106.17
20050527,h11001,106.12
20050530,h11001,106.05
20050531,h11001,106.07
20050601,h11001,106.19
20050602,h11001,106.2
20050603,h11001,106.2
20050606,h11001,106.22
20050607,h11001,106.3
20050608,h11001,106.38
20050609,h11001,106.48
20050610,h11001,106.62
20050613,h11001,106.79
20050614,h11001,107.02
20050615,h11001,107.17
20050616,h11001,107.3
20050617,h11001,107.5
20050620,h11001,107.54
20050621,h11001,107.58
20050622,h11001,107.8
20050623,h11001,107.79
20050624,h11001,107.83
20050627,h11001,107.85
20050628,h11001,107.88
20050629,h11001,107.9
20050630,h11001,107.97
20050701,h11001,107.98
20050704,h11001,107.98
20050705,h11001,108.12
20050706,h11001,108.24
20050707,h11001,108.34
20050708,h11001,108.52
20050711,h11001,108.55
20050712,h11001,108.68
20050713,h11001,108.95
20050714,h11001,109.05
20050715,h11001,109.06
20050718,h11001,109.1
20050719,h11001,109.15
20050720,h11001,109.22
20050721,h11001,109.21
20050722,h11001,109.23
20050725,h11001,109.43
20050726,h11001,109.5
20050727,h11001,109.69
20050728,h11001,109.74
20050729,h11001,109.82
20050801,h11001,109.92
20050802,h11001,109.97
20050803,h11001,109.9
20050804,h11001,109.83
20050805,h11001,109.9
20050808,h11001,109.8
20050809,h11001,109.83
20050810,h11001,109.81
20050811,h11001,109.67
20050812,h11001,109.72
20050815,h11001,109.79
20050816,h11001,109.84
20050817,h11001,109.84
20050818,h11001,109.83
20050819,h11001,109.92
20050822,h11001,109.97
20050823,h11001,110.05
20050824,h11001,110.1
20050825,h11001,109.98
20050826,h11001,110.0
20050829,h11001,109.99
20050830,h11001,110.05
20050831,h11001,110.15
20050901,h11001,110.11
20050902,h11001,110.11
20050905,h11001,110.16
20050906,h11001,110.26
20050907,h11001,110.25
20050908,h11001,110.29
20050909,h11001,110.38
20050912,h11001,110.41
20050913,h11001,110.45
20050914,h11001,110.55
20050915,h11001,110.62
20050916,h11001,110.74
20050919,h11001,110.76
20050920,h11001,110.85
20050921,h11001,110.79
20050922,h11001,110.78
20050923,h11001,110.83
20050926,h11001,110.97
20050927,h11001,110.92
20050928,h11001,111.11
20050929,h11001,111.13
20050930,h11001,111.13
20051010,h11001,111.29
20051011,h11001,111.42
20051012,h11001,111.5
20051013,h11001,111.7
20051014,h11001,111.71
20051017,h11001,111.79
20051018,h11001,111.86
20051019,h11001,111.9
20051020,h11001,111.96
20051021,h11001,111.94
20051024,h11001,111.86
20051025,h11001,111.92
20051026,h11001,111.83
20051027,h11001,111.68
20051028,h11001,111.48
20051031,h11001,111.36
20051101,h11001,111.4
20051102,h11001,111.41
20051103,h11001,111.41
20051104,h11001,111.33
20051107,h11001,111.23
20051108,h11001,111.09
20051109,h11001,110.82
20051110,h11001,110.69
20051111,h11001,110.6
20051114,h11001,110.74
20051115,h11001,110.76
20051116,h11001,110.82
20051117,h11001,110.76
20051118,h11001,110.65
20051121,h11001,110.65
20051122,h11001,110.68
20051123,h11001,110.5
20051124,h11001,110.51
20051125,h11001,110.44
20051128,h11001,110.66
20051129,h11001,110.69
20051130,h11001,110.68
20051201,h11001,110.71
20051202,h11001,110.76
20051205,h11001,110.87
20051206,h11001,110.92
20051207,h11001,111.06
20051208,h11001,111.14
20051209,h11001,111.12
20051212,h11001,111.25
20051213,h11001,111.33
20051214,h11001,111.32
20051215,h11001,111.45
20051216,h11001,111.5
20051219,h11001,111.59
20051220,h11001,111.55
20051221,h11001,111.59
20051222,h11001,111.75
20051223,h11001,111.75
20051226,h11001,111.71
20051227,h11001,111.67
20051228,h11001,111.68
20051229,h11001,111.59
20051230,h11001,111.41
20060104,h11001,111.67
20060105,h11001,111.82
20060106,h11001,111.61
20060109,h11001,111.96
20060110,h11001,112.1
20060111,h11001,112.29
20060112,h11001,112.43
20060113,h11001,112.53
20060116,h11001,112.55
20060117,h11001,112.72
20060118,h11001,112.82
20060119,h11001,112.86
20060120,h11001,112.86
20060123,h11001,112.72
20060124,h11001,112.76
20060125,h11001,112.8
20060206,h11001,112.92
20060207,h11001,112.94
20060208,h11001,112.89
20060209,h11001,113.04
20060210,h11001,113.11
20060213,h11001,113.13
20060214,h11001,113.19
20060215,h11001,113.22
20060216,h11001,113.19
20060217,h11001,113.19
20060220,h11001,113.18
20060221,h11001,113.11
20060222,h11001,113.02
20060223,h11001,113.07
20060224,h11001,113.07
20060227,h11001,113.17
20060228,h11001,113.11
20060301,h11001,113.18
20060302,h11001,113.29
20060303,h11001,113.26
20060306,h11001,113.29
20060307,h11001,113.29
20060308,h11001,113.35
20060309,h11001,113.44
20060310,h11001,113.49
20060313,h11001,113.51
20060314,h11001,113.52
20060315,h11001,113.5
20060316,h11001,113.5
20060317,h11001,113.52
